stockcode,description,year,week,abc_class,total_quantity,total_revenue,transaction_count
10002,INFLATABLE POLITICAL GLOBE,2010,48,C,70,65.17,7
10002,INFLATABLE POLITICAL GLOBE,2010,49,C,138,127.02,14
10002,INFLATABLE POLITICAL GLOBE,2010,50,C,41,38.9,8
10002,INFLATABLE POLITICAL GLOBE,2010,51,C,2,3.32,1
10002,INFLATABLE POLITICAL GLOBE,2011,1,C,73,62.86,3
10002,INFLATABLE POLITICAL GLOBE,2011,2,C,42,35.699999999999996,5
10002,INFLATABLE POLITICAL GLOBE,2011,3,C,76,65.38,8
10002,INFLATABLE POLITICAL GLOBE,2011,4,C,17,15.23,3
10002,INFLATABLE POLITICAL GLOBE,2011,5,C,133,113.05,3
10002,INFLATABLE POLITICAL GLOBE,2011,6,C,1,0.85,1
10002,INFLATABLE POLITICAL GLOBE,2011,7,C,14,13.459999999999999,3
10002,INFLATABLE POLITICAL GLOBE,2011,8,C,36,30.599999999999998,2
10002,INFLATABLE POLITICAL GLOBE,2011,9,C,4,4.96,2
10002,INFLATABLE POLITICAL GLOBE,2011,10,C,2,3.26,1
10002,INFLATABLE POLITICAL GLOBE,2011,11,C,11,10.129999999999999,3
10002,INFLATABLE POLITICAL GLOBE,2011,12,C,11,9.35,2
10002,INFLATABLE POLITICAL GLOBE,2011,13,C,126,107.1,3
10002,INFLATABLE POLITICAL GLOBE,2011,15,C,62,52.7,1
10002,INFLATABLE POLITICAL GLOBE,2011,16,C,1,0.85,1
10080,GROOVY CACTUS INFLATABLE,2011,8,C,2,1.7,1
10080,GROOVY CACTUS INFLATABLE,2011,25,C,48,18.72,1
10080,GROOVY CACTUS INFLATABLE,2011,26,C,12,4.68,1
10080,GROOVY CACTUS INFLATABLE,2011,27,C,12,4.68,1
10080,GROOVY CACTUS INFLATABLE,2011,30,C,12,4.68,1
10080,GROOVY CACTUS INFLATABLE,2011,31,C,48,18.72,3
10080,GROOVY CACTUS INFLATABLE,2011,34,C,12,4.68,1
10080,GROOVY CACTUS INFLATABLE,2011,36,C,36,14.04,2
10080,GROOVY CACTUS INFLATABLE,2011,38,C,12,4.68,1
10080,GROOVY CACTUS INFLATABLE,2011,39,C,12,4.68,1
10080,GROOVY CACTUS INFLATABLE,2011,41,C,4,1.56,2
10080,GROOVY CACTUS INFLATABLE,2011,43,C,2,0.78,1
10080,GROOVY CACTUS INFLATABLE,2011,44,C,24,9.36,1
10080,GROOVY CACTUS INFLATABLE,2011,45,C,24,9.36,1
10080,GROOVY CACTUS INFLATABLE,2011,46,C,16,6.24,2
10080,GROOVY CACTUS INFLATABLE,2011,47,C,27,10.530000000000001,2
10120,DOGGY RUBBER,2010,48,C,3,0.63,2
10120,DOGGY RUBBER,2010,49,C,13,2.73,2
10120,DOGGY RUBBER,2011,7,C,30,6.3,1
10120,DOGGY RUBBER,2011,9,C,11,2.31,1
10120,DOGGY RUBBER,2011,10,C,16,3.36,2
10120,DOGGY RUBBER,2011,13,C,2,0.42,1
10120,DOGGY RUBBER,2011,19,C,1,0.21,1
10120,DOGGY RUBBER,2011,20,C,2,0.42,1
10120,DOGGY RUBBER,2011,27,C,5,1.05,1
10120,DOGGY RUBBER,2011,31,C,5,1.05,1
10120,DOGGY RUBBER,2011,34,C,30,6.3,1
10120,DOGGY RUBBER,2011,35,C,3,0.63,1
10120,DOGGY RUBBER,2011,38,C,1,0.21,1
10120,DOGGY RUBBER,2011,39,C,6,1.26,2
10120,DOGGY RUBBER,2011,40,C,5,1.05,1
10120,DOGGY RUBBER,2011,42,C,5,1.05,1
10120,DOGGY RUBBER,2011,44,C,38,7.98,5
10120,DOGGY RUBBER,2011,46,C,6,1.26,1
10120,DOGGY RUBBER,2011,47,C,1,0.21,1
10120,DOGGY RUBBER,2011,48,C,10,2.1,2
10123C,HEARTS WRAPPING TAPE,2010,48,C,1,0.65,1
10123C,HEARTS WRAPPING TAPE,2011,9,C,3,1.95,1
10123C,HEARTS WRAPPING TAPE,2011,13,C,1,0.65,1
10124A,SPOTS ON RED BOOKCOVER TAPE,2010,49,C,4,1.68,1
10124A,SPOTS ON RED BOOKCOVER TAPE,2011,6,C,3,1.26,1
10124A,SPOTS ON RED BOOKCOVER TAPE,2011,11,C,4,1.68,1
10124A,SPOTS ON RED BOOKCOVER TAPE,2011,12,C,1,0.42,1
10124A,SPOTS ON RED BOOKCOVER TAPE,2011,44,C,4,1.68,1
10124G,ARMY CAMO BOOKCOVER TAPE,2010,48,C,5,2.1,1
10124G,ARMY CAMO BOOKCOVER TAPE,2011,11,C,4,1.68,1
10124G,ARMY CAMO BOOKCOVER TAPE,2011,39,C,4,1.68,1
10124G,ARMY CAMO BOOKCOVER TAPE,2011,44,C,4,1.68,1
10125,MINI FUNKY DESIGN TAPES,2010,48,B,2,1.7,1
10125,MINI FUNKY DESIGN TAPES,2010,49,B,43,38.17,4
10125,MINI FUNKY DESIGN TAPES,2010,50,B,102,45.32,5
10125,MINI FUNKY DESIGN TAPES,2010,51,B,7,5.67,1
10125,MINI FUNKY DESIGN TAPES,2011,1,B,98,48.18,7
10125,MINI FUNKY DESIGN TAPES,2011,2,B,79,40.43,11
10125,MINI FUNKY DESIGN TAPES,2011,3,B,36,21.040000000000003,10
10125,MINI FUNKY DESIGN TAPES,2011,9,B,23,20.33,3
10125,MINI FUNKY DESIGN TAPES,2011,12,B,25,22.029999999999998,3
10125,MINI FUNKY DESIGN TAPES,2011,13,B,66,56.1,5
10125,MINI FUNKY DESIGN TAPES,2011,14,B,21,17.85,2
10125,MINI FUNKY DESIGN TAPES,2011,15,B,40,34.0,2
10125,MINI FUNKY DESIGN TAPES,2011,16,B,20,17.0,1
10125,MINI FUNKY DESIGN TAPES,2011,17,B,1,0.85,1
10125,MINI FUNKY DESIGN TAPES,2011,18,B,5,4.25,3
10125,MINI FUNKY DESIGN TAPES,2011,19,B,100,85.0,1
10125,MINI FUNKY DESIGN TAPES,2011,20,B,2,1.7,2
10125,MINI FUNKY DESIGN TAPES,2011,22,B,1,0.85,1
10125,MINI FUNKY DESIGN TAPES,2011,23,B,12,10.2,1
10125,MINI FUNKY DESIGN TAPES,2011,25,B,2,3.26,1
10125,MINI FUNKY DESIGN TAPES,2011,26,B,4,3.4,1
10125,MINI FUNKY DESIGN TAPES,2011,27,B,28,24.58,4
10125,MINI FUNKY DESIGN TAPES,2011,28,B,25,21.25,2
10125,MINI FUNKY DESIGN TAPES,2011,29,B,120,102.0,2
10125,MINI FUNKY DESIGN TAPES,2011,32,B,40,34.0,1
10125,MINI FUNKY DESIGN TAPES,2011,33,B,20,17.0,1
10125,MINI FUNKY DESIGN TAPES,2011,34,B,25,21.25,2
10125,MINI FUNKY DESIGN TAPES,2011,36,B,20,17.0,1
10125,MINI FUNKY DESIGN TAPES,2011,39,B,197,167.45,4
10125,MINI FUNKY DESIGN TAPES,2011,40,B,4,4.18,2
10125,MINI FUNKY DESIGN TAPES,2011,42,B,20,17.0,1
10125,MINI FUNKY DESIGN TAPES,2011,43,B,20,17.0,1
10125,MINI FUNKY DESIGN TAPES,2011,44,B,2,1.7,1
10125,MINI FUNKY DESIGN TAPES,2011,46,B,60,51.0,1
10125,MINI FUNKY DESIGN TAPES,2011,48,B,6,5.1,1
10125,MINI FUNKY DESIGN TAPES,2011,49,B,20,17.0,1
10133,COLOURING PENCILS BROWN TUBE,2010,48,B,20,17.81,5
10133,COLOURING PENCILS BROWN TUBE,2010,49,B,14,11.9,3
10133,COLOURING PENCILS BROWN TUBE,2010,50,B,80,42.2,5
10133,COLOURING PENCILS BROWN TUBE,2010,51,B,16,13.36,2
10133,COLOURING PENCILS BROWN TUBE,2011,1,B,11,8.91,5
10133,COLOURING PENCILS BROWN TUBE,2011,2,B,67,45.95,8
10133,COLOURING PENCILS BROWN TUBE,2011,3,B,92,50.480000000000004,7
10133,COLOURING PENCILS BROWN TUBE,2011,4,B,10,8.5,1
10133,COLOURING PENCILS BROWN TUBE,2011,6,B,10,8.5,1
10133,COLOURING PENCILS BROWN TUBE,2011,7,B,10,8.5,1
10133,COLOURING PENCILS BROWN TUBE,2011,8,B,14,11.9,2
